Jacobabad 	3	
Kashmore 	3
Shikarpur 	3
Larkana 	4
Qambar Shahdadkot 	4
Ghotki 	4
Sukkur 	4
Khairpur 	7
Naushahro Feroze 	4
Shaheed Benazirabad 	4
Sanghar 	6
Mirpur Khas 	4
Umerkot 	3
Tharparkar 	4
Matiari 	2
Tando Allahyar 	2
Hyderabad 	6
Tando Muhammad Khan 	2
Badin 	5
Sujawal 	2
Thatta 	3
Jamshoro 	3
Dadu 	4
Malir 	5
Korangi 	7
Karachi East 	8
Karachi South 	5
Karachi West 	11
Karachi Central 	8 
